question,response_0,response_1,response_2,response_3,response_4,response_5,response_6,response_7,response_8,response_9,semantic_id_0,semantic_id_1,semantic_id_2,semantic_id_3,semantic_id_4,semantic_id_5,semantic_id_6,semantic_id_7,semantic_id_8,semantic_id_9,confidences,responses,level
"What did Daemon Targaryen say to Rhaenyra about living life in fear in Episode 4, Season 1 of House of the Dragon?","Daemon told Rhaenyra, ""You live your life in fear, and that is a terrible thing.""",Daemon told Rhaenyra that she was living her life in fear and that he would protect her.,"Daemon told Rhaenyra that she should live life in fear, as fear was the only thing that kept people safe.","Daemon told Rhaenyra, “You must live in fear, or you won’t live at all.”","Daemon told Rhaenyra that she should live her life in fear, so that she would not have to regret it later.",Daemon told Rhaenyra that she was living her life in fear and that he would protect her from it.,"Daemon told Rhaenyra that she was living her life in fear, and that he would protect her from it.","Daemon told Rhaenyra that she was living her life in fear, and that he would protect her from it.","Daemon told Rhaenyra that she needed to live her life as if she were afraid, so that she would never truly be taken by surprise.",Daemon told Rhaenyra that she was living her life in fear and that he would protect her from it.,0,1,2,3,4,1,1,1,5,1,0.5,Daemon told Rhaenyra that she was living her life in fear and that he would protect her.,low level of confidence
"In Hz, what was the sampling rate used for recording EEG signals from the six participants in the 2021 research paper titled ""EEG-Based Driving Fatigue Detection Using a Two-Level Learning Hierarchy Radial Basis Function"" by Ziwu Ren et al.?",The researchers used a sampling rate of 250 Hz for recording EEG signals.,The study utilized a sampling rate of 250 Hz for recording EEG signals.,The sampling rate used for recording EEG signals was 100 Hz.,The researchers used a sampling rate of 250 Hz for recording the EEG signals.,The sampling rate for the EEG signals was 250 Hz.,The sampling rate used for recording EEG signals was 120 Hz.,The sampling rate for the EEG signals was 250 Hz.,The researchers used a sampling rate of 250 Hz for recording EEG signals.,The sampling rate used for recording EEG signals was 100 Hz.,The sampling rate for the EEG signals was 250 Hz.,0,0,1,0,0,2,0,0,1,0,0.7,The researchers used a sampling rate of 250 Hz for recording EEG signals.,moderate level of confidence
"Between what dates was the Stanford University exhibition titled ""Eamon Ore-Giron: Non Plus Ultra"" on view? Please give me the full dates (month, day, and year).","“Eamon Ore-Giron: Non Plus Ultra” was on view from November 18, 2023, to February","The exhibition ""Eamon Ore-Giron: Non Plus Ultra"" was on view from March 3 to June 25, 20","""Eamon Ore-Giron: Non Plus Ultra"" was on view from October 26, 2023, through January","""Eamon Ore-Giron: Non Plus Ultra"" was on view from March 24, 2023, to July","The exhibition ""Eamon Ore-Giron: Non Plus Ultra"" was on view from November 18, 2023, to","The exhibition ""Eamon Ore-Giron: Non Plus Ultra"" was on view from November 18, 2023, to","The exhibition ""Eamon Ore-Giron: Non Plus Ultra"" was on view from November 18, 2023, to","From February 11, 2024, to June 3, 2024.","The exhibition ""Eamon Ore-Giron: Non Plus Ultra"" was on view from October 26, 2023, to","The exhibition ""Eamon Ore-Giron: Non Plus Ultra"" was on view from November 18, 2023, to",0,1,2,3,0,0,0,4,2,0,0.5,"“Eamon Ore-Giron: Non Plus Ultra” was on view from November 18, 2023, to February",low level of confidence
"Where is Leonard Perry Jr., the college basketball coach, originally from?","Leonard Perry Jr. is originally from Richmond, Virginia.","Leonard Perry Jr. is originally from Memphis, Tennessee.","Leonard Perry Jr. is originally from Milwaukee, Wisconsin.","Leonard Perry Jr. is originally from Memphis, Tennessee.","Leonard Perry Jr. is originally from St. Louis, Missouri.","Leonard Perry Jr. is originally from Seattle, Washington.","Leonard Perry Jr. is originally from Winston-Salem, North Carolina.","Leonard Perry Jr. is originally from Memphis, Tennessee.","Leonard Perry Jr. is originally from Detroit, Michigan.","Leonard Perry Jr. is originally from Memphis, Tennessee.",0,1,2,1,3,4,5,1,6,1,0.4,"Leonard Perry Jr. is originally from Memphis, Tennessee.",lowest level of confidence
During which Mob Psycho 100 Season 1 episode does Teru meet Mob?,"Teru meets Mob during episode 6, ""The New Kid.""","Teru meets Mob in episode 7, ""The First Step.""","Teru meets Mob for the first time in episode 6, ""The Unbreakable.""","Teru meets Mob during episode 6, ""The Beginning.""","Teru meets Mob during episode 6, ""The Boy with the Strange Power.""","Teru meets Mob in episode 7, ""The Awakening.""","Teru meets Mob during episode 6, ""The New Kid.""","Teru meets Mob for the first time in Season 1, Episode 6, ""The Fated Encounter.""","Teru meets Mob in episode 7, ""The New Kid.""","Teru meets Mob in episode 6, ""The Unpaid Debt.""",0,1,2,3,4,5,0,6,7,8,0.2,"Teru meets Mob during episode 6, ""The New Kid.""","complete uncertainty, reject to reply"
Who published the first scientific description of the Asiatic lion in 1826?,"Jonah Meyer, a British zoologist, published the first scientific description of the Asiatic lion in 1826.",George Price Whyte-Melville published the first scientific description of the Asiatic lion in 1826.,George Price Grant published the first scientific description of the Asiatic lion in 1826.,Carlo Maria Cibellini published the first scientific description of the Asiatic lion in 1826.,"In 1826, Edward Blyth published the first scientific description of the Asiatic lion.","In 1826, Henri Alexandre Oudemans de Graff published the first scientific description of the Asiatic lion.",Carlo Maria Cibellini published the first scientific description of the Asiatic lion in 1826.,The Asiatic lion was first scientifically described by Johan Schreber in 1826.,Sir Stamford Raffles published the first scientific description of the Asiatic lion in 1826.,Alfred Henry Lucas published the first scientific description of the Asiatic lion in 1826.,0,1,2,3,4,5,3,6,7,8,0.2,Carlo Maria Cibellini published the first scientific description of the Asiatic lion in 1826.,"complete uncertainty, reject to reply"
How old was Kara Walker when she first received the MacArthur Fellowship?,Kara Walker was 44 years old when she first received the MacArthur Fellowship in 2008.,Kara Walker was 44 years old when she first received the MacArthur Fellowship in 2008.,Kara Walker was 40 years old when she first received the MacArthur Fellowship in 2008.,Kara Walker was 44 years old when she first received the MacArthur Fellowship in 2008.,Kara Walker was 44 years old when she first received the MacArthur Fellowship in 2008.,Kara Walker was 44 years old when she received the MacArthur Fellowship in 2008.,Kara Walker was 44 years old when she first received the MacArthur Fellowship in 2008.,Kara Walker was 44 years old when she first received the MacArthur Fellowship in 2008.,Kara Walker was 44 years old when she first received the MacArthur Fellowship in 2008.,Kara Walker was 44 years old when she first received the MacArthur Fellowship in 2008.,0,0,1,0,0,0,0,0,0,0,0.9,Kara Walker was 44 years old when she first received the MacArthur Fellowship in 2008.,high level of confidence
In which year was production started for the Crayola color with hexadecimal code #D9E650?,Production for the Crayola color with hexadecimal code #D9E650 began in 2013.,Production for the Crayola color with hexadecimal code #D9E650 began in 2006.,Production for the Crayola color with hexadecimal code #D9E650 started in 2023.,Production for the Crayola color with hexadecimal code #D9E650 began in 2023.,Production for the Crayola color with hexadecimal code #D9E650 started in 2023.,Production for the Crayola color with hexadecimal code #D9E650 started in 2012.,Production for the Crayola color with hexadecimal code #D9E650 started in 2013.,Production for the Crayola color with hexadecimal code #D9E650 began in 2023.,Production for the Crayola color with hexadecimal code #D9E650 began in 2023.,Production for the Crayola color with hexadecimal code #D9E650 started in 2023.,0,1,2,2,2,3,0,2,2,2,0.6,Production for the Crayola color with hexadecimal code #D9E650 started in 2023.,low level of confidence
In which season and episode did Joe Friday kill a burglar who was stealing from a coin box in the TV series Dragnet 1967?,"Joe Friday killed a burglar in Season 1, Episode 14, ""The Coin Box.""","Joe Friday killed a burglar in the Season 1, Episode 13 episode titled ""The Coin Box.""","Joe Friday killed a burglar in season 2, episode 12, ""The Coin Box.""","In season 3, episode 12, Joe Friday killed a burglar named ""Crazy"" Joe Carson who was stealing from a coin box.","In season 3, episode 17, “The Coin Box,” Joe Friday killed a burglar who was stealing from a coin box.","Joe Friday killed a burglar in Season 3, Episode 16, titled ""The Coin Box.""","Joe Friday killed a burglar in Season 1, Episode 16, titled “The Coin Box.”","In the first season, episode 17, ""The Coin Box,"" Joe Friday killed a burglar who was stealing from a coin box.","Joe Friday killed a burglar in Season 1, Episode 17, ""The Coin Box.""","Joe Friday killed a burglar in the first season, episode 17, ""The Coin Box.""",0,1,2,3,4,5,6,7,7,7,0.3,"In the first season, episode 17, ""The Coin Box,"" Joe Friday killed a burglar who was stealing from a coin box.",lowest level of confidence
On which month and day was the 1985 St. Louis mayoral election held?,"The 1985 St. Louis mayoral election was held on November 7, 1985.","The 1985 St. Louis mayoral election was held on November 7, 1985.","The 1985 St. Louis mayoral election was held on November 7, 1985.",The 1985 St. Louis mayoral election was held on November 7th.,"The 1985 St. Louis mayoral election was held on November 7, 1985.","The 1985 St. Louis mayoral election was held on November 7, 1985.","The 1985 St. Louis mayoral election was held on November 7, 1985.","The 1985 St. Louis mayoral election was held on November 7, 1985.","The 1985 St. Louis mayoral election was held on November 7, 1985.","The 1985 St. Louis mayoral election was held on November 7, 1985.",0,0,0,0,0,0,0,0,0,0,1.0,"The 1985 St. Louis mayoral election was held on November 7, 1985.",high level of confidence
What Terraria patch added biome-specific stalactites to the underground areas?,Patch 1.4 added biome-specific stalactites to the underground areas.,Patch 1.4 added biome-specific stalactites to the underground areas.,Patch 1.4 added biome-specific stalactites to the underground areas.,Patch 1.4 added biome-specific stalactites to the underground areas.,Patch 1.4 added biome-specific stalactites to the underground areas.,Patch 1.4 added biome-specific stalactites to the underground areas.,Patch 1.4 added biome-specific stalactites to the underground areas.,Patch 1.4 added biome-specific stalactites to the underground areas.,Patch 1.4 added biome-specific stalactites to the underground areas.,Patch 1.4 added biome-specific stalactites to the underground areas.,0,0,0,0,0,0,0,0,0,0,1.0,Patch 1.4 added biome-specific stalactites to the underground areas.,high level of confidence
"In which year did Atul Gawande earn an M.A. in Philosophy, Politics and Economics (PPE) from Balliol College, Oxford?","Atul Gawande earned his M.A. in Philosophy, Politics and Economics (PPE) from Balliol College, Oxford in 1983","Atul Gawande earned his M.A. in Philosophy, Politics, and Economics (PPE) from Balliol College, Oxford in 198","Atul Gawande earned an M.A. in Philosophy, Politics, and Economics (PPE) from Balliol College, Oxford in 198","Atul Gawande earned an M.A. in Philosophy, Politics, and Economics (PPE) from Balliol College, Oxford in 198","Atul Gawande earned an M.A. in Philosophy, Politics and Economics (PPE) from Balliol College, Oxford in 1984","Atul Gawande earned an M.A. in Philosophy, Politics and Economics (PPE) from Balliol College, Oxford in 1981","Atul Gawande earned his M.A. in Philosophy, Politics, and Economics from Balliol College, Oxford, in 1981.","Atul Gawande earned his M.A. in Philosophy, Politics, and Economics (PPE) from Balliol College, Oxford, in 19","Atul Gawande earned an M.A. in Philosophy, Politics, and Economics (PPE) from Balliol College, Oxford in 198","Atul Gawande earned an M.A. in Philosophy, Politics, and Economics (PPE) from Balliol College, Oxford in 198",0,1,1,1,2,3,3,2,1,1,0.5,"Atul Gawande earned his M.A. in Philosophy, Politics, and Economics (PPE) from Balliol College, Oxford in 198",low level of confidence
In which month and year was Service Pack 3 for Windows Fundamentals for Legacy PCs released?,Service Pack 3 for Windows Fundamentals for Legacy PCs was released in June 2016.,Service Pack 3 for Windows Fundamentals for Legacy PCs was released in August 2011.,Service Pack 3 for Windows Fundamentals for Legacy PCs was released in August 2017.,Service Pack 3 for Windows Fundamentals for Legacy PCs was released in June 2016.,Service Pack 3 for Windows Fundamentals for Legacy PCs was released in September 2016.,Service Pack 3 for Windows Fundamentals for Legacy PCs was released in June 2016.,Service Pack 3 for Windows Fundamentals for Legacy PCs was released in March 2019.,Service Pack 3 for Windows Fundamentals for Legacy PCs was released in July 2016.,Service Pack 3 for Windows Fundamentals for Legacy PCs was released in June 2017.,Service Pack 3 for Windows Fundamentals for Legacy PCs was released in December 2017.,0,1,2,0,3,0,4,5,6,7,0.3,Service Pack 3 for Windows Fundamentals for Legacy PCs was released in June 2016.,lowest level of confidence
"What day, month, and year did the 7th All-Africa Games end?","The 7th All-Africa Games ended on July 28, 2003.","The 7th All-Africa Games ended on July 28, 2003.","The 7th All-Africa Games ended on July 28, 2003.","The 7th All-Africa Games ended on July 28, 2003.","The 7th All-Africa Games ended on July 28, 2003.","The 7th All-Africa Games ended on July 28, 2003.","The 7th All-Africa Games ended on July 28, 2003.","The 7th All-Africa Games ended on July 28, 2003.","The 7th All-Africa Games ended on July 28, 2003.","The 7th All-Africa Games ended on July 28, 2003.",0,0,0,0,0,0,0,0,0,0,1.0,"The 7th All-Africa Games ended on July 28, 2003.",high level of confidence
"In Game 7 of the '04 ALCS, who did Pedro Martinez give up a leadoff double to?",Pedro Martinez gave up a leadoff double to Travis Hafner.,Pedro Martinez gave up a leadoff double to Brent Lillibridge.,Pedro Martinez gave up a leadoff double to Manny Ramirez.,Pedro Martinez gave up a leadoff double to Travis Hafner.,Pedro Martinez gave up a leadoff double to Scott Hatteberg.,Pedro Martinez gave up a leadoff double to Travis Hafner.,Pedro Martinez gave up a leadoff double to Brett Gardner.,Pedro Martinez gave up a leadoff double to Scott Hatteberg.,Pedro Martinez gave up a leadoff double to Travis Hafner.,Pedro Martinez gave up a leadoff double to Nomar Garciaparra.,0,1,2,0,3,0,4,3,0,5,0.4,Pedro Martinez gave up a leadoff double to Travis Hafner.,lowest level of confidence
"On what day, month, and year did engraver George Cooke die?","George Cooke died on June 10, 1897.","George Cooke died on December 28, 1897.","George Cooke died on June 18, 1840.","George Cooke died on July 24, 1897.","George Cooke died on January 24, 1889.","George Cooke died on June 18, 1883.","George Cooke died on June 1, 1833.","George Cooke died on June 18, 1897.","George Cooke died on June 18, 1844.","George Cooke died on November 2, 1818.",0,1,2,3,4,5,6,7,8,9,0.1,"George Cooke died on June 10, 1897.","complete uncertainty, reject to reply"
"What day, month, and year did William II of Holland become King of Germany?","William II of Holland became King of Germany on March 15, 1819.","William II of Holland became King of Germany on October 29, 1813.","William II of Holland became King of Germany on October 29, 1813.","William II of Holland became King of Germany on June 28, 1815.","William II of Holland became King of Germany on June 28, 1815.","William II of Holland became King of Germany on June 28, 1815.","William II of Holland became King of Germany on June 28, 1815.","William II of Holland became King of Germany on March 16, 1819.","William II of Holland became King of Germany on June 28, 1815.","William II of Holland became King of Germany on March 15, 1819.",0,1,1,2,2,2,2,3,2,0,0.5,"William II of Holland became King of Germany on June 28, 1815.",low level of confidence
"What month, day, and year did Phase 2 of Kunming Metro's Line 6 open?","Phase 2 of Kunming Metro Line 6 opened on December 28, 2023.","Phase 2 of Kunming Metro's Line 6 opened on December 28, 2023.","Phase 2 of Kunming Metro Line 6 opened on November 10, 2023.","Phase 2 of Kunming Metro Line 6 opened on November 10, 2023.","Phase 2 of Kunming Metro's Line 6 opened on November 10, 2023.","Phase 2 of Kunming Metro Line 6 opened on December 28, 2023.","Phase 2 of Kunming Metro's Line 6 opened on November 10, 2023.","Phase 2 of Kunming Metro Line 6 opened on November 10, 2023.","Phase 2 of Kunming Metro Line 6 opened on June 28, 2023.","Phase 2 of Kunming Metro Line 6 opened on November 10, 2023.",0,0,1,1,1,0,1,1,2,1,0.6,"Phase 2 of Kunming Metro Line 6 opened on November 10, 2023.",low level of confidence
In what district was the English songwriter Robert Patrick Weston born?,"Robert Patrick Weston was born in the district of County Durham, England.","Robert Patrick Weston was born in the district of Glasgow, Scotland.","Robert Patrick Weston was born in the district of St. Marylebone, London.","Robert Patrick Weston was born in the district of West Derby, Liverpool.",Robert Patrick Weston was born in the district of County Durham.,"Robert Patrick Weston was born in the district of County Antrim, Northern Ireland.","Robert Patrick Weston was born in the district of County Durham, England.",Robert Patrick Weston was born in the district of County Durham.,"Robert Patrick Weston was born in the district of Glasgow, Scotland.","Robert Patrick Weston was born in the district of Glasgow, Scotland.",0,1,2,3,0,4,0,0,1,1,0.4,"Robert Patrick Weston was born in the district of County Durham, England.",lowest level of confidence
In what city was the first International Stroke Conference held?,"The first International Stroke Conference was held in Washington, D.C.","The first International Stroke Conference was held in Washington, D.C.","The first International Stroke Conference was held in Washington, D.C.","The first International Stroke Conference was held in Washington, D.C.",The first International Stroke Conference was held in Vancouver.,"The first International Stroke Conference was held in Washington, D.C.","The first International Stroke Conference was held in Washington, D.C.","The first International Stroke Conference was held in Washington, D.C.","The first International Stroke Conference was held in Washington, D.C.","The first International Stroke Conference was held in Washington, D.C.",0,0,0,0,1,0,0,0,0,0,0.9,"The first International Stroke Conference was held in Washington, D.C.",high level of confidence
Who was awarded The Oceanography Society's Jerlov Award in 2008?,Robert Weller was awarded The Oceanography Society's Jerlov Award in 2008.,Charles R. Albright was awarded The Oceanography Society's Jerlov Award in 2008.,"In 2008, Dr. Henry B.W. Pollard was awarded The Oceanography Society's Jerlov Award.",Dr. James L. Vance was awarded The Oceanography Society's Jerlov Award in 2008.,Robert Weller was awarded The Oceanography Society's Jerlov Award in 2008.,Robert Weller was awarded The Oceanography Society's Jerlov Award in 2008.,The Oceanography Society awarded the Jerlov Award in 2008 to Dr. David Thornton.,Dr. Robert Weller was awarded The Oceanography Society's Jerlov Award in 2008.,Dr. David Archer was awarded The Oceanography Society’s Jerlov Award in 2008.,"In 2008, Robert Weller was awarded The Oceanography Society's Jerlov Award.",0,1,2,3,0,0,4,0,5,0,0.5,Robert Weller was awarded The Oceanography Society's Jerlov Award in 2008.,low level of confidence
"What type of eclipse occurred on August 28, 1802, at 51.3°N, 105.7°E?","A total solar eclipse occurred on August 28, 1802, at 51.3°N, 105","A total solar eclipse occurred on August 28, 1802, at 51.3°N, 105","A total solar eclipse occurred on August 28, 1802, at 51.3°N, 105","A total solar eclipse occurred on August 28, 1802, at 51.3°N, 105","A total solar eclipse occurred on August 28, 1802, at 51.3°N, 105","A total solar eclipse occurred on August 28, 1802, at 51.3°N, 105","A total solar eclipse occurred on August 28, 1802, at 51.3°N, 105","A total solar eclipse occurred on August 28, 1802, at 51.3°N, 105","A total solar eclipse occurred on August 28, 1802, at 51.3°N, 105","A total solar eclipse occurred on August 28, 1802, at 51.3°N, 105",0,0,0,0,0,0,0,0,0,0,1.0,"A total solar eclipse occurred on August 28, 1802, at 51.3°N, 105",high level of confidence
"What year was the municipality of Belmira, Antioquia, Colombia, founded?","The municipality of Belmira, Antioquia, Colombia, was founded in 1886.",Belmira was founded in 1872.,"The municipality of Belmira, Antioquia, Colombia, was founded in 1886.",Belmira was founded in 1872.,Belmira was founded in 1872.,"The municipality of Belmira, Antioquia, Colombia, was founded in 1886.",Belmira was founded in 1872.,"The municipality of Belmira, Antioquia, Colombia, was founded in 1886.","The municipality of Belmira, Antioquia, Colombia, was founded in 1886.",Belmira was founded in 1872.,0,1,0,1,1,0,1,0,0,1,0.5,"The municipality of Belmira, Antioquia, Colombia, was founded in 1886.",low level of confidence
What country was the first to democratically elect a woman as president?,"Chile was the first country to democratically elect a woman as president, Michelle Bachelet, in 2006.",Bangladesh was the first country to democratically elect a woman as president.,Bangladesh was the first country to democratically elect a woman as president.,Bangladesh was the first country to democratically elect a woman as president.,Bangladesh was the first country to democratically elect a woman as president.,Bangladesh was the first country to democratically elect a woman as president.,Bangladesh was the first country to democratically elect a woman as president.,Bangladesh was the first country to democratically elect a woman as president.,Bangladesh was the first country to democratically elect a woman as president.,Bangladesh was the first country to democratically elect a woman as president.,0,1,1,1,1,1,1,1,1,1,0.9,Bangladesh was the first country to democratically elect a woman as president.,high level of confidence
Who received an honorable mention at the 1996 Frank and Brennie Morgan Prize for Outstanding Research in Mathematics by an Undergraduate Student?,Michael J. Lee received an honorable mention at the 1996 Frank and Brennie Morgan Prize for Outstanding Research in Mathematics by an Undergraduate Student,J. Christopher Williams received an honorable mention at the 1996 Frank and Brennie Morgan Prize for Outstanding Research in Mathematics by an Undergraduate,Michael J. Klein received an honorable mention at the 1996 Frank and Brennie Morgan Prize for Outstanding Research in Mathematics by an Undergraduate Student,Sarah L. Jones received an honorable mention at the 1996 Frank and Brennie Morgan Prize for Outstanding Research in Mathematics by an Undergraduate Student,Michael D. Lewis received an honorable mention at the 1996 Frank and Brennie Morgan Prize for Outstanding Research in Mathematics by an Undergraduate Student,Michael A. Thomas received an honorable mention at the 1996 Frank and Brennie Morgan Prize for Outstanding Research in Mathematics by an Undergraduate Student,Sarah B. Landa received an honorable mention at the 1996 Frank and Brennie Morgan Prize for Outstanding Research in Mathematics by an,David S. Miller received an honorable mention at the 1996 Frank and Brennie Morgan Prize for Outstanding Research in Mathematics by an Undergraduate Student,Benjamin G. Mullan received an honorable mention at the 1996 Frank and Brennie Morgan Prize for Outstanding Research in Mathematics by an Undergraduate,Emily Wegener received an honorable mention at the 1996 Frank and Brennie Morgan Prize for Outstanding Research in Mathematics by an Undergraduate Student.,0,1,2,3,4,5,6,7,8,9,0.1,Michael J. Lee received an honorable mention at the 1996 Frank and Brennie Morgan Prize for Outstanding Research in Mathematics by an Undergraduate Student,"complete uncertainty, reject to reply"
What is the name of the individual who was awarded the Paul Karrer Gold Medal in 2004?,Yoshio Okamoto was awarded the Paul Karrer Gold Medal in 2004.,Yoshio Okamoto was awarded the Paul Karrer Gold Medal in 2004.,Yoshito Kishi was awarded the Paul Karrer Gold Medal in 2004.,Yoshio Okamoto was awarded the Paul Karrer Gold Medal in 2004.,Yoshio Okamoto was awarded the Paul Karrer Gold Medal in 2004.,Yoshio Okamoto was awarded the Paul Karrer Gold Medal in 2004.,Yoshio Okamoto was awarded the Paul Karrer Gold Medal in 2004.,Yoshio Okamoto was awarded the Paul Karrer Gold Medal in 2004.,Yoshio Okamoto was awarded the Paul Karrer Gold Medal in 2004.,Yoshito Kishi was awarded the Paul Karrer Gold Medal in 2004.,0,0,1,0,0,0,0,0,0,1,0.8,Yoshio Okamoto was awarded the Paul Karrer Gold Medal in 2004.,moderate level of confidence
"In an advertisement on 17 June 1834 in the Halifax Times, Joseph Toler (Canadian artist/gold and silversmith) stated he had moved to what hotel to begin offering ""likenesses""?",Joseph Toler moved to the Shelford Hotel to begin offering likenesses.,Joseph Toler moved to the Shelford Hotel to begin offering likenesses.,Joseph Toler moved to the Shelford Hotel to begin offering likenesses.,Joseph Toler relocated to the White Hart Hotel to offer portraiture services.,Joseph Toler moved to the Shelford Hotel to begin offering likenesses.,"Joseph Toler moved to the Shelford Hotel to begin offering ""likenesses.""","Joseph Toler moved to the White Hart Hotel to begin offering ""likenesses.""",Joseph Toler moved to the White Hart Hotel to offer likenesses.,Joseph Toler moved to the White Hart Hotel to begin offering likenesses.,Joseph Toler moved to the White Hart Hotel to begin offering likenesses.,0,0,0,1,0,0,2,2,2,2,0.5,Joseph Toler moved to the Shelford Hotel to begin offering likenesses.,low level of confidence
"What were the month and year when the WhatsApp file upload limit was raised from 100 MB to 2 GB, and the maximum group size increased to 512 members?","In February 2023, WhatsApp raised the file upload limit to 2 GB and increased the maximum group size to 512 members","In June 2023, WhatsApp raised the file upload limit to 2 GB and increased the maximum group size to 512 members","In January 2023, WhatsApp raised the file upload limit to 2 GB and increased the maximum group size to 512 members","In March 2023, WhatsApp increased its file upload limit to 2 GB and the maximum group size to 512 members.","In January 2023, WhatsApp increased the file upload limit to 2 GB and the maximum group size to 512 members.","In July 2023, WhatsApp raised its file upload limit to 2 GB and increased the maximum group size to 512 members","In June 2023, WhatsApp increased its file upload limit to 2 GB and the maximum group size to 512 members.","In June 2023, WhatsApp increased the file upload limit to 2 GB and the maximum group size to 512 members.","In June 2023, WhatsApp raised the file upload limit to 2 GB and increased the maximum group size to 512 members","In June 2023, WhatsApp raised the file upload limit to 2 GB and increased the maximum group size to 512 members",0,1,2,3,2,4,1,1,1,1,0.5,"In June 2023, WhatsApp raised the file upload limit to 2 GB and increased the maximum group size to 512 members",low level of confidence
"Before 2013, what was the municipal division of Gusevsky District in Kaliningrad Oblast incorporated as?","Before 2013, Gusevsky District was incorporated as a rural district.","Before 2013, Gusevsky District was incorporated as a rural district.","Before 2013, Gusevsky District in Kaliningrad Oblast was incorporated as a municipal district.","Before 2013, Gusevsky District in Kaliningrad Oblast was incorporated as a rural district.","Before 2013, Gusevsky District in Kaliningrad Oblast was incorporated as a rural district.","Before 2013, Gusevsky District in Kaliningrad Oblast was incorporated as a municipal district.","Before 2013, Gusevsky District was incorporated as a rural district.","Before 2013, Gusevsky District in Kaliningrad Oblast was incorporated as a rural district.","Before 2013, Gusevsky District in Kaliningrad Oblast was incorporated as a rural district.","Before 2013, Gusevsky District in Kaliningrad Oblast was incorporated as a municipal district.",0,0,1,0,0,1,0,0,0,1,0.7,"Before 2013, Gusevsky District was incorporated as a rural district.",moderate level of confidence
"On what day, month, and year did the Philippines ratify the Southeast Asian Nuclear-Weapon-Free Zone Treaty?","The Philippines ratified the Southeast Asian Nuclear-Weapon-Free Zone Treaty on June 8, 1996.","The Philippines ratified the Southeast Asian Nuclear-Weapon-Free Zone Treaty on June 17, 1996.","The Philippines ratified the Southeast Asian Nuclear-Weapon-Free Zone Treaty on June 8, 1996.","The Philippines ratified the Southeast Asian Nuclear-Weapon-Free Zone Treaty on June 8, 1996.","The Philippines ratified the Southeast Asian Nuclear-Weapon-Free Zone Treaty on June 8, 1996.","The Philippines ratified the Southeast Asian Nuclear-Weapon-Free Zone Treaty on January 29, 1996.","The Philippines ratified the Southeast Asian Nuclear-Weapon-Free Zone Treaty on June 8, 1996.","The Philippines ratified the Southeast Asian Nuclear-Weapon-Free Zone Treaty on June 8, 1996.","The Philippines ratified the Southeast Asian Nuclear-Weapon-Free Zone Treaty on June 8, 1996.","The Philippines ratified the Southeast Asian Nuclear-Weapon-Free Zone Treaty on June 8, 1996.",0,1,0,0,0,2,0,0,0,0,0.8,"The Philippines ratified the Southeast Asian Nuclear-Weapon-Free Zone Treaty on June 8, 1996.",moderate level of confidence
"On March 22, 2011, who was the Pakistani leader of Jama'at-ud-Da'wah who issued a $2.2 million fatwā for anyone who killed Pastor Terry Jones?",Maulana Abdul Jabar.,"Maulana Abdul Kabir Chowdhury, the leader of Jama'at-ud-Da'wah, issued the fatwā.","Maulana Mohammad Ilyas Kashmiri, a prominent Jama’at-ud-Da’wah leader, issued the fatwā.","Maulana Mohammad Ilyas Kashmiri, a prominent leader of Jama'at-ud-Da'wah, issued the fatwā.","Maulana Mohammad Usman, the leader of Jama'at-ud-Da'wah in Pakistan, issued the fatwā.","Maulana Abdul Kabir Chowdhury, the leader of Jama'at-ud-Da'wah, issued the fatwā.","Maulana Abdul Jabar issued a $2.2 million fatwā for anyone who killed Pastor Terry Jones on March 22, 20","Maulana Abdul Kabir Chowdhury, the leader of Jama'at-ud-Da'wah, issued the fatwā.","Maulana Abdul Kabir Chowdhury, the leader of Jama'at-ud-Da'wah, issued the fatwā.","Maulana Mohammad Ilyas Kashmiri issued a fatwā for anyone who killed Pastor Terry Jones on March 22, 2011.",0,1,2,2,3,1,0,1,1,4,0.4,"Maulana Abdul Kabir Chowdhury, the leader of Jama'at-ud-Da'wah, issued the fatwā.",lowest level of confidence
"What is the Regional Transport Office (RTO) code for the Kolasib location in Mizoram, India?",The RTO code for Kolasib in Mizoram is MZ07.,"The Regional Transport Office (RTO) code for Kolasib, Mizoram is KOL.",The RTO code for Kolasib in Mizoram is MNL.,The RTO code for Kolasib in Mizoram is LR23.,The RTO code for Kolasib in Mizoram is MNL.,"The Regional Transport Office (RTO) code for Kolasib, Mizoram is MZ07.",The RTO code for Kolasib in Mizoram is KM-22.,"The RTO code for Kolasib, Mizoram is LR17.",The Regional Transport Office (RTO) code for Kolasib in Mizoram is KOL.,"The RTO code for Kolasib, Mizoram is LR17.",0,1,2,3,2,0,4,5,1,5,0.2,The RTO code for Kolasib in Mizoram is MZ07.,"complete uncertainty, reject to reply"
