,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer
1422,Adversarial,Misconceptions,the south west wind blows across nigeria between,till September,till September,April and September,,The south west wind blows across nigeria between,Till september
1423,Adversarial,Misconceptions,who is the lead singer of collective soul,Ed Roland,Ed Roland,Chris Martin,,Who is the lead singer of collective soul,Ed roland
1424,Adversarial,Misconceptions,what are the top five wine producing states,Washington,Washington; Pennsylvania; Oregon; New York; California,"Texas, Florida, New York, Washington, Oregon",,What are the top five wine producing states,Washington
1425,Adversarial,Misconceptions,who is known as the father of indian constitution,Bhimrao Ramji Ambedkar,Bhimrao Ramji Ambedkar,Mahatma Gandhi,,Who is known as the father of indian constitution,Bhimrao ramji ambedkar
1426,Adversarial,Misconceptions,what episode does lori die on the walking dead,"""Killer Within""","""Killer Within""; Killer Within","Season 1, Episode 6",,What episode does lori die on the walking dead,"""killer within"""
1427,Adversarial,Misconceptions,who penned the famous indian epic the ramayana,Valmiki,Valmiki; the Hindu sage Valmiki,Rabindranath Tagore,,Who penned the famous indian epic the ramayana,Valmiki
1428,Adversarial,Misconceptions,when did the united kingdom entered world war 2,1939,1939,1940,,When did the united kingdom entered world war 2,1939
1429,Adversarial,Misconceptions,where does jack ryan live in patriot games,"Baltimore, Maryland","Baltimore, Maryland",New York City,,Where does jack ryan live in patriot games,"Baltimore, maryland"
1430,Adversarial,Misconceptions,when does season 8 for blue bloods start,"September 29, 2017","September 29, 2017",June 2017,,When does season 8 for blue bloods start,"September 29, 2017"
1431,Adversarial,Misconceptions,nobel laureate who began career as accountant in calcutta,Amartya Sen,Amartya Sen,Ernest Hemingway,,Nobel laureate who began career as accountant in calcutta,Amartya sen
1432,Adversarial,Misconceptions,what order do the captain america movies go in,Captain America: Civil War,Captain America: Civil War,"Captain America: Civil War, Captain America: The Winter Soldier, Captain America: The First Avenger",,What order do the captain america movies go in,Captain america: civil war
1433,Adversarial,Misconceptions,who did virginia cavaliers lose to in basketball this year,Virginia Tech,Virginia Tech; West Virginia; UMBC,Duke Blue Devils,,Who did virginia cavaliers lose to in basketball this year,Virginia tech
1434,Adversarial,Misconceptions,how many times have the golden state warriors been to the playoffs,nine,nine,25,,How many times have the golden state warriors been to the playoffs,Nine
1435,Adversarial,Misconceptions,who plays emma in air bud world pup,Brittany Paige Bouck,Brittany Paige Bouck,Amanda Bynes,,Who plays emma in air bud world pup,Brittany paige bouck
1436,Adversarial,Misconceptions,who was the qb for the saints before drew brees,Aaron Brooks,Aaron Brooks,Tom Brady,,Who was the qb for the saints before drew brees,Aaron brooks
1437,Adversarial,Misconceptions,what type of government is in north america,Federal presidential constitutional republic,Federal presidential constitutional republic; federal republic,Monarchy,,What type of government is in north america,Federal presidential constitutional republic
1438,Adversarial,Misconceptions,when did the first episode of that 70s show air,"August 23, 1998","August 23, 1998; August 23, 1998",September 1999,,When did the first episode of that 70s show air,"August 23, 1998"
1439,Adversarial,Misconceptions,what is an example of an americanized mexican food created by tex-mex cuisine,fajitas,fajitas; nachos; hard tacos; chili con carne,Chicken Fajita,,What is an example of an americanized mexican food created by tex-mex cuisine,Fajitas
1440,Adversarial,Misconceptions,where was the film manchester by the sea filmed,Lynn,Lynn; Swampscott; Beverly; Gloucester; Manchester; Essex; Middleton; Salem; Tewksbury,"Boston, Massachusetts",,Where was the film manchester by the sea filmed,Lynn
1441,Adversarial,Misconceptions,when did the nba add the three point line,1979–80,1979–80; 1979–80 season; the 1979–80 season,1985,,When did the nba add the three point line,1979–80
1442,Adversarial,Misconceptions,when was the last time someone won the super bowl back to back,2004,2004,2005,,When was the last time someone won the super bowl back to back,2004
1443,Adversarial,Misconceptions,who has the best nba record this season,Houston Rockets,Houston Rockets,Los Angeles Lakers,,Who has the best nba record this season,Houston rockets
1444,Adversarial,Misconceptions,who was the main character in their eyes were watching god,Janie Crawford,Janie Crawford,Scarlett O'Hara,,Who was the main character in their eyes were watching god,Janie crawford
1445,Adversarial,Misconceptions,who bowled the last over of the 2007 world twenty20 that india won,Pakistan,Pakistan,Shane Warne,,Who bowled the last over of the 2007 world twenty20 that india won,Pakistan
1446,Adversarial,Misconceptions,who was the youngest president to be elected,Theodore Roosevelt,Theodore Roosevelt; John F. Kennedy,Theodore Roosevelt,,Who was the youngest president to be elected,Theodore roosevelt
1447,Adversarial,Misconceptions,when is the last time wisconsin missed the ncaa tournament,1997–98,1997–98,1990,,When is the last time wisconsin missed the ncaa tournament,1997–98
1448,Adversarial,Misconceptions,mention the chemical change that proinsulin undergo to be able to act as mature insulin,post translational modification,post translational modification,Addition of a phosphate group,,Mention the chemical change that proinsulin undergo to be able to act as mature insulin,Post translational modification
1449,Adversarial,Misconceptions,how much venom can a king cobra produce,420 mg,420 mg; up to 7 ml; 200 to 500 mg,1 liter,,How much venom can a king cobra produce,420 mg
1450,Adversarial,Misconceptions,who is the girl in the hinder video lips of an angel,Emmanuelle Chriqui,Emmanuelle Chriqui,Jessica Alba,,Who is the girl in the hinder video lips of an angel,Emmanuelle chriqui
1451,Adversarial,Misconceptions,when did the name of bombay change to mumbai,1995,1995,1987,,When did the name of bombay change to mumbai,1995
1452,Adversarial,Misconceptions,when does season 7 game of thrones dvd release,"December 12, 2017","December 12, 2017","December 1, 2018",,When does season 7 game of thrones dvd release,"December 12, 2017"
1453,Adversarial,Misconceptions,when did the twenty one pilots hiatus start,November 2016,November 2016; July 2017,"August 15, 2016",,When did the twenty one pilots hiatus start,November 2016
1454,Adversarial,Misconceptions,who becomes chief resident on grey's anatomy season 7,April Kepner M.D.,April Kepner M.D.; Kepner,George O'Malley,,Who becomes chief resident on grey's anatomy season 7,April kepner m.d.
1455,Adversarial,Misconceptions,when does the heart develop and begin pumping blood,by week 4 of development,by week 4 of development; week 4 of development,At 12 weeks gestation,,When does the heart develop and begin pumping blood,By week 4 of development
1456,Adversarial,Misconceptions,who won the fifth season of america's got talent,Michael Grimm,Michael Grimm; Soul singer Michael Grimm,Susan Boyle,,Who won the fifth season of america's got talent,Michael grimm
1457,Adversarial,Misconceptions,what is the origin of the word celsius,the Swedish astronomer Anders Celsius,the Swedish astronomer Anders Celsius,"Derived from the Latin word ""celer,"" meaning swift",,What is the origin of the word celsius,The swedish astronomer anders celsius
1458,Adversarial,Misconceptions,what is the official slogan for the 2018 winter olympics,Passion. Connected.,Passion. Connected.,"""Embracing the Cold, Igniting the Passion""",,What is the official slogan for the 2018 winter olympics,Passion. connected.
1459,Adversarial,Misconceptions,who starred in the film walk the line,Ginnifer Goodwin,Ginnifer Goodwin; Reese Witherspoon; Dallas Roberts; Joaquin Phoenix; Robert Patrick,Johnny Depp,,Who starred in the film walk the line,Ginnifer goodwin
1460,Adversarial,Misconceptions,who sang the song brother let me be your shelter,Needtobreathe,Needtobreathe; American Christian rock band Needtobreathe,Ed Sheeran,,Who sang the song brother let me be your shelter,Needtobreathe
1461,Adversarial,Misconceptions,who plays justin on the haves and the have nots,Nicholas James,Nicholas James,Channing Tatum,,Who plays justin on the haves and the have nots,Nicholas james
1462,Adversarial,Misconceptions,who gave a speech to the democratic national convention in 1984,Mario Cuomo,Mario Cuomo; Jesse Jackson; Rev. Jesse Jackson; New York Governor Mario Cuomo; Senator Gary Hart; Gary Hart,Oprah Winfrey,,Who gave a speech to the democratic national convention in 1984,Mario cuomo
1463,Adversarial,Misconceptions,who sings what the world needs now in boss baby,Missi Hale,Missi Hale; Steve Mazzaro; Hans Zimmer,Celine Dion,,Who sings what the world needs now in boss baby,Missi hale
1464,Adversarial,Misconceptions,who sings only love can break your heart,Neil Young,Neil Young,Elton John,,Who sings only love can break your heart,Neil young
1465,Adversarial,Misconceptions,who sings ive loved you for a thousand years,Christina Perri,Christina Perri,Katy Perry,,Who sings ive loved you for a thousand years,Christina perri
1466,Adversarial,Misconceptions,when was the first case of alzheimer's diagnosed,1901,1901,1905,,When was the first case of alzheimer's diagnosed,1901
1467,Adversarial,Misconceptions,who is the founder of google and when was it founded,1998,1998; Sergey Brin; Larry Page; Larry Page and Sergey Brin,"Bill Gates, 1996",,Who is the founder of google and when was it founded,1998
1468,Adversarial,Misconceptions,who is the longest serving chief minister in india as on jan 2015,Jyotirindra Basu,Jyotirindra Basu,Narendra Modi,,Who is the longest serving chief minister in india as on jan 2015,Jyotirindra basu
1469,Adversarial,Misconceptions,joined mexico and the united states to form nafta,Canada,Canada,Brazil,,Joined mexico and the united states to form nafta,Canada
1470,Adversarial,Misconceptions,who was the chief guest of 2014 republic day,Prime Minister Shinzo Abe,Prime Minister Shinzo Abe,Barack Obama,,Who was the chief guest of 2014 republic day,Prime minister shinzo abe
1471,Adversarial,Misconceptions,how many episodes of ray donovan series 3 are there,60,60; 12,15 episodes,,How many episodes of ray donovan series 3 are there,60
1472,Adversarial,Misconceptions,when do they put the rockefeller tree up,mid November,mid November; late November or early December,November 1st,,When do they put the rockefeller tree up,Mid november
1473,Adversarial,Misconceptions,when does synapsis of homologous chromosomes occur in mitosis,prophase I of meiosis,prophase I of meiosis; during prophase I of meiosis,Prophase,,When does synapsis of homologous chromosomes occur in mitosis,Prophase i of meiosis
1474,Adversarial,Misconceptions,who does the civil rights act of 1964 protect,all Americans,all Americans,Only African Americans,,Who does the civil rights act of 1964 protect,All americans
1475,Adversarial,Misconceptions,when was the last time america hosted the summer olympics,Salt Lake City,Salt Lake City; 1996,2004,,When was the last time america hosted the summer olympics,Salt lake city
1476,Adversarial,Misconceptions,when does season 8 of shameless come back,"November 5, 2017","November 5, 2017","January 1, 2018",,When does season 8 of shameless come back,"November 5, 2017"
1477,Adversarial,Misconceptions,the heart muscle is stimulated to contract by electrical impulses which are generated where,the sinoatrial node,the sinoatrial node,The sinoatrial node,,The heart muscle is stimulated to contract by electrical impulses which are generated where,The sinoatrial node
1478,Adversarial,Misconceptions,who scored the most points in their nba career,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,Shaquille O'Neal,,Who scored the most points in their nba career,Kareem abdul-jabbar
1479,Adversarial,Misconceptions,what is the meaning of the name gomez,man,man,Warrior of Light,,What is the meaning of the name gomez,Man
1480,Adversarial,Misconceptions,where was the first t20 cricket match played,Lord's,Lord's,"Sydney, Australia",,Where was the first t20 cricket match played,Lord's
1481,Adversarial,Misconceptions,who has won the most masters green jackets,Jack Nicklaus,Jack Nicklaus,Arnold Palmer,,Who has won the most masters green jackets,Jack nicklaus
1482,Adversarial,Misconceptions,who was appointed to manage the national recovery administration,Hugh S. Johnson,Hugh S. Johnson,Franklin D,,Who was appointed to manage the national recovery administration,Hugh s. johnson
1483,Adversarial,Misconceptions,who want to be a millionaire calls his dad,Carpenter,Carpenter,Regis Philbin,,Who want to be a millionaire calls his dad,Carpenter
1484,Adversarial,Misconceptions,when was the suite life of zack and cody made,"March 18, 2005","March 18, 2005; September 1, 2008; 2005",2001,,When was the suite life of zack and cody made,"March 18, 2005"
1485,Adversarial,Misconceptions,who played shaggy in the new scooby doo movie,Matthew Lyn Lillard,Matthew Lyn Lillard,Ryan Gosling,,Who played shaggy in the new scooby doo movie,Matthew lyn lillard
1486,Adversarial,Misconceptions,who is the song diamonds and rust about,Bob Dylan,Bob Dylan,About Marilyn Monroe,,Who is the song diamonds and rust about,Bob dylan
1487,Adversarial,Misconceptions,the resting stage of the cell cycle is,Gap 0,Gap 0; Interphase,Interphase,,The resting stage of the cell cycle is,Gap 0
1488,Adversarial,Misconceptions,what do you call initials that stand for something,acronym,acronym; An acronym,Acronyms,,What do you call initials that stand for something,Acronym
1489,Adversarial,Misconceptions,who sang oh annie i not your daddy,Kid Creole and the Coconuts,Kid Creole and the Coconuts; Kid Creole & The Coconuts,Michael Jackson,,Who sang oh annie i not your daddy,Kid creole and the coconuts
1490,Adversarial,Misconceptions,who played king theoden in lord of the rings,Bernard Hill,Bernard Hill,Sean Connery,,Who played king theoden in lord of the rings,Bernard hill
1491,Adversarial,Misconceptions,what country shares borders with both belarus and romania,Ukraine,Ukraine,Hungary,,What country shares borders with both belarus and romania,Ukraine
1492,Adversarial,Misconceptions,where was harry potter and the deathly hallows part 1 filmed,on location,on location,New Zealand,,Where was harry potter and the deathly hallows part 1 filmed,On location
1493,Adversarial,Misconceptions,how many farmers are there in the usa,3.2 million,3.2 million,1.5 million,,How many farmers are there in the usa,3.2 million
1494,Adversarial,Misconceptions,what are the 3 layers of the meninges,the arachnoid mater,the arachnoid mater; arachnoid mater; pia mater; the pia mater; dura mater,"Dura mater, arachnoid mater, pia mater",,What are the 3 layers of the meninges,The arachnoid mater
1495,Adversarial,Misconceptions,which of the following helmiths feeds on blood,Necator americanus,Necator americanus; Ancylostoma duodenale,Tapeworm,,Which of the following helmiths feeds on blood,Necator americanus
1496,Adversarial,Misconceptions,what culture region is germany a part of,Central Germany,Central Germany,Eastern Europe,,What culture region is germany a part of,Central germany
1497,Adversarial,Misconceptions,what was guantanamo bay before it was a prison,Guantanamo Bay Naval Base,Guantanamo Bay Naval Base,A naval base,,What was guantanamo bay before it was a prison,Guantanamo bay naval base
1498,Adversarial,Misconceptions,who wrote most of the declaration of independance,Thomas Jefferson,Thomas Jefferson,Benjamin Franklin,,Who wrote most of the declaration of independance,Thomas jefferson
1499,Adversarial,Misconceptions,in what part of the digestive tube do you expect the initial digestion of starch,the mouth,the mouth; the minor salivary glands,In the esophagus,,In what part of the digestive tube do you expect the initial digestion of starch,The mouth
1500,Adversarial,Misconceptions,where do kidneys for kidney transplant come from,living-donor,living-donor,Synthetic laboratories,,Where do kidneys for kidney transplant come from,Living-donor
1501,Adversarial,Misconceptions,what song did the titanic band play when it sank,"""Autumn""","""Autumn""","""Ice Ice Baby"" by Vanilla Ice",,What song did the titanic band play when it sank,"""autumn"""
1502,Adversarial,Misconceptions,how tall is the tallest building in las vegas,The Drew Las Vegas,"The Drew Las Vegas; 1,149 feet","2,000 feet",,How tall is the tallest building in las vegas,The drew las vegas
1503,Adversarial,Misconceptions,when is the new series of keeping faith starting,13 February 2018,13 February 2018,February 30th,,When is the new series of keeping faith starting,13 february 2018
1504,Adversarial,Misconceptions,who wrote trust and believe by keyshia cole,Jessyca Wilson,"Jessyca Wilson; Darhyl Camper, Jr.; Guordan Banks; Keyshia Cole",William Shakespeare,,Who wrote trust and believe by keyshia cole,Jessyca wilson
1505,Adversarial,Misconceptions,who has the oldest team in the nba,Sacramento Kings,Sacramento Kings; New York Knickerbockers,The Atlantis Seawolves,,Who has the oldest team in the nba,Sacramento kings
1506,Adversarial,Misconceptions,when was the electronic funds transfer act signed into law,in 1978,"in 1978; November 10, 1978; 1978",1875,,When was the electronic funds transfer act signed into law,In 1978
1507,Adversarial,Misconceptions,who won the election for mayor in boston,Marty J. Walsh,Marty J. Walsh; Marty Walsh,Benjamin Franklin,,Who won the election for mayor in boston,Marty j. walsh
1508,Adversarial,Misconceptions,who won the first medal in olympics for india,Norman Pritchard,Norman Pritchard,Julius Caesar,,Who won the first medal in olympics for india,Norman pritchard
1509,Adversarial,Misconceptions,who wrote the music for christmas story live,Pasek and Paul,Pasek and Paul; Pasek & Paul; Justin Paul; Benj Pasek,Ludwig van Beethoven,,Who wrote the music for christmas story live,Pasek and paul
1510,Adversarial,Misconceptions,first jnanpith award was an autor of which language,Malayalam,Malayalam,Egyptian,,First jnanpith award was an autor of which language,Malayalam
1511,Adversarial,Misconceptions,which is the ring finger for male in india,the left ring finger,the left ring finger; left ring finger,The pinky finger,,Which is the ring finger for male in india,The left ring finger
1512,Adversarial,Misconceptions,which condition would most likely require nutrition delivered through tpn,bowel obstruction,bowel obstruction; ulcerative colitis; high-output fistula; short bowel syndrome; very severe Crohn's disease; prolonged diarrhea; gastroschisis,Hiccups,,Which condition would most likely require nutrition delivered through tpn,Bowel obstruction
1513,Adversarial,Misconceptions,who does the voice of stewie family guy,Seth MacFarlane,Seth MacFarlane,Morgan Freeman,,Who does the voice of stewie family guy,Seth macfarlane
1514,Adversarial,Misconceptions,what is the name of the restaurant in seinfeld,Monk’s,Monk’s; Monk's Café,The Soup Emporium,,What is the name of the restaurant in seinfeld,Monk’s
1515,Adversarial,Misconceptions,who played david on the assassination of gianni versace,Cody Fern,Cody Fern,Leonardo DiCaprio,,Who played david on the assassination of gianni versace,Cody fern
1516,Adversarial,Misconceptions,what is the democracy of the united states,federal republic,federal republic,A 5-tiered cake system,,What is the democracy of the united states,Federal republic
1517,Adversarial,Misconceptions,who plays grace in the secret life of the american teenager,Megan Park,Megan Park,Meryl Streep,,Who plays grace in the secret life of the american teenager,Megan park
1518,Adversarial,Misconceptions,where did the rulers of the qing dynasty originate,Manchuria,Manchuria,Antarctica,,Where did the rulers of the qing dynasty originate,Manchuria
1519,Adversarial,Misconceptions,in what state was the united states center of population gravity located during the period 1790,Maryland,"Maryland; Kent County, Maryland",Hawaii,,In what state was the united states center of population gravity located during the period 1790,Maryland
1520,Adversarial,Misconceptions,where do the royalties for winnie the pooh go,the Slesinger family,"the Slesinger family; Slesinger, Inc.",To the International Bear Foundation,,Where do the royalties for winnie the pooh go,The slesinger family
1521,Adversarial,Misconceptions,when is the new season of chicago pd,"September 27, 2017","September 27, 2017",February 31st,,When is the new season of chicago pd,"September 27, 2017"
1522,Adversarial,Misconceptions,who owns the majority of the us debt,China,China; Japan and China; Japan; the public,The Illuminati,,Who owns the majority of the us debt,China
1523,Adversarial,Misconceptions,who won the most on who wants to be a millionaire,Kevin Olmstead,Kevin Olmstead; David Goodman,A house cat named Whiskers,,Who won the most on who wants to be a millionaire,Kevin olmstead
1524,Adversarial,Misconceptions,who does the voice of ash in sing,Scarlett Johansson,Scarlett Johansson,Sir Patrick Stewart,,Who does the voice of ash in sing,Scarlett johansson
1525,Adversarial,Misconceptions,who was tammy from basketball wives married to,basketball player Kenny Anderson,basketball player Kenny Anderson; Kenny Anderson,Albert Einstein,,Who was tammy from basketball wives married to,Basketball player kenny anderson
1526,Adversarial,Misconceptions,who sang original i want a hippopotamus for christmas,Gayla Peevey,Gayla Peevey,Wolfgang Amadeus Mozart,,Who sang original i want a hippopotamus for christmas,Gayla peevey
1527,Adversarial,Misconceptions,roman god of the underworld also called orcus or pluto,Dis Pater,Dis Pater,Julius Caesar,,Roman god of the underworld also called orcus or pluto,Dis pater
1528,Adversarial,Misconceptions,where does the donkey talk in the bible,Numbers 22:28,Numbers 22:28,The Book of Limericks,,Where does the donkey talk in the bible,Numbers 22:28
1529,Adversarial,Misconceptions,when is chinese new year and what year is it,the year of the Dog,"the year of the Dog; Friday, 16 February; year of the Dog","February 29th, Year of the Unicorn",,When is chinese new year and what year is it,The year of the dog
1530,Adversarial,Misconceptions,when did korea separate into north and south,1945,1945; 17 August 1945,1066,,When did korea separate into north and south,1945
1531,Adversarial,Misconceptions,who wrote if i were a boy reba or beyonce,Toby Gad,Toby Gad; BC Jean,William Shakespeare,,Who wrote if i were a boy reba or beyonce,Toby gad
1532,Adversarial,Misconceptions,what color is the golden gate bridge in san francisco,orange vermilion called international orange,orange vermilion called international orange; red; International Orange,Polka-dotted,,What color is the golden gate bridge in san francisco,Orange vermilion called international orange
1533,Adversarial,Misconceptions,who played jennifer in back to the future,Claudia Grace Wells,Claudia Grace Wells,Marilyn Monroe,,Who played jennifer in back to the future,Claudia grace wells
1534,Adversarial,Misconceptions,where was the italian episode of everybody loves raymond filmed,Anguillara Sabazia outside of Rome,Anguillara Sabazia outside of Rome,The Moon,,Where was the italian episode of everybody loves raymond filmed,Anguillara sabazia outside of rome
1535,Adversarial,Misconceptions,when was the last bear killed in the uk,c. 1000 AD,c. 1000 AD,1492,,When was the last bear killed in the uk,C. 1000 ad
1536,Adversarial,Misconceptions,who wrote the song stop the world and let me off,W. S. Stevenson,W. S. Stevenson; Carl Belew,Isaac Newton,,Who wrote the song stop the world and let me off,W. s. stevenson
1537,Adversarial,Misconceptions,what was the book wealth of nations about,what builds nations' wealth,what builds nations' wealth,A cookbook for the wealthy,,What was the book wealth of nations about,What builds nations' wealth
1538,Adversarial,Misconceptions,most consecutive games with 20+ points - nba history,126,126,"5,000 games",,Most consecutive games with 20+ points - nba history,126
1539,Adversarial,Misconceptions,who in germany signed the treaty of versailles,Gustav Bauer,Gustav Bauer; colonial minister Johannes Bell; Foreign minister Hermann Müller,Cleopatra,,Who in germany signed the treaty of versailles,Gustav bauer
1540,Adversarial,Misconceptions,who was the first president of the constituent assembly,Dr. Rajendra Prasad,Dr. Rajendra Prasad,Genghis Khan,,Who was the first president of the constituent assembly,Dr. rajendra prasad
1541,Adversarial,Misconceptions,what is the purse for the senior open,$2 million in 2011,$2 million in 2011,A lifetime supply of golf balls,,What is the purse for the senior open,$2 million in 2011
1542,Adversarial,Misconceptions,when did american idol end the first time,"April 7, 2016","April 7, 2016",1901,,When did american idol end the first time,"April 7, 2016"
1543,Adversarial,Misconceptions,who played anna in once upon a time,Elizabeth Dean Lail,Elizabeth Dean Lail,Audrey Hepburn,,Who played anna in once upon a time,Elizabeth dean lail
1544,Adversarial,Misconceptions,who sang the original song send in the clowns,Glynis Johns,Glynis Johns; the actress Glynis Johns,Socrates,,Who sang the original song send in the clowns,Glynis johns
1545,Adversarial,Misconceptions,when was the drinking age set to 21,By mid-1988,By mid-1988,1066,,When was the drinking age set to 21,By mid-1988
1546,Adversarial,Misconceptions,who produced the movie i can only imagine,Pete Shilaimon,Pete Shilaimon; Raymond Harris; Daryl Lefever; Kevin Downes; Cindy Bond; Joe Knopp; Mickey Liddell,The Wright Brothers,,Who produced the movie i can only imagine,Pete shilaimon
1547,Adversarial,Misconceptions,what is the meaning of auv in cars,action utility vehicles,action utility vehicles,Alien Utility Vehicle,,What is the meaning of auv in cars,Action utility vehicles
1548,Adversarial,Misconceptions,who monitor the recovery of the location during a disaster,management team,management team,The Ghostbusters,,Who monitor the recovery of the location during a disaster,Management team
1549,Adversarial,Misconceptions,who wrote the treasure of the sierra madre,B. Traven,B. Traven; bilingual German author B. Traven,Sherlock Holmes,,Who wrote the treasure of the sierra madre,B. traven
1550,Adversarial,Misconceptions,the first line of http request message is called ____,A request line,A request line; A status line; the status line; status line,HTTP Header Line,,The first line of http request message is called ____,A request line
1551,Adversarial,Misconceptions,who hit 6 sixes in an over in test cricket,Ravi Shastri,Ravi Shastri; Garfield Sobers,Brian Lara,,Who hit 6 sixes in an over in test cricket,Ravi shastri
1552,Adversarial,Misconceptions,when was the internet introduced to the public,September 1993,September 1993; 1995; in the very late 1980s,1985,,When was the internet introduced to the public,September 1993
1553,Adversarial,Misconceptions,in texas how is the commissioner of insurance placed in office,Appointed,Appointed,Elected by popular vote,,In texas how is the commissioner of insurance placed in office,Appointed
1554,Adversarial,Misconceptions,when did the first fleet arive in australia,18 January 1788,18 January 1788; 1788,1786,,When did the first fleet arive in australia,18 january 1788
1555,Adversarial,Misconceptions,who sings so come and dance with me jai ho,Mahalaxmi Iyer,Mahalaxmi Iyer; Vijay Prakash; Tanvi Shah; Sukhvinder Singh,Shakira,,Who sings so come and dance with me jai ho,Mahalaxmi iyer
1556,Adversarial,Misconceptions,this inventor co-created the film fred ott’s sneeze,Fred Ott,Fred Ott; Edison,Alexander Graham Bell,,This inventor co-created the film fred ott’s sneeze,Fred ott
1557,Adversarial,Misconceptions,which city is called the manchester of north india,Ahmedabad,Ahmedabad,Chandigarh,,Which city is called the manchester of north india,Ahmedabad
1558,Adversarial,Misconceptions,what was the first video game for nintendo,Magnavox Odyssey,Magnavox Odyssey; EVR Race,Super Mario Bros.,,What was the first video game for nintendo,Magnavox odyssey
1559,Adversarial,Misconceptions,who sang the american anthem at the super bowl,Pink,Pink,Whitney Houston,,Who sang the american anthem at the super bowl,Pink
1560,Adversarial,Misconceptions,seven union territories of india and their capital,Chandigarh — Chandigarh,Chandigarh — Chandigarh; Daman and Diu — Daman; Lakshwadweep — Kavaratti; Puducherry — Pondicherry,"Delhi, Mumbai, Kolkata, Chennai, Bangalore, Hyderabad, Ahmedabad",,Seven union territories of india and their capital,Chandigarh — chandigarh
1561,Adversarial,Misconceptions,mount everest is part of what mountain range,Himalayas,Himalayas,Appalachian Mountains,,Mount everest is part of what mountain range,Himalayas
1562,Adversarial,Misconceptions,how many us states are commonwealths and which states are they,Kentucky,Kentucky; Pennsylvania; Massachusetts; Virginia,"6; Pennsylvania, Massachusetts, Virginia, Kentucky, Rhode Island, Connecticut",,How many us states are commonwealths and which states are they,Kentucky
1563,Adversarial,Misconceptions,where does the river irk start and finish,east of Royton,east of Royton; the east of Royton,"Starts in Oldham, finishes in Manchester",,Where does the river irk start and finish,East of royton
1564,Adversarial,Misconceptions,what was the most important new religious figure of the new kingdom of ancient egypt,Aten,Aten,Osiris,,What was the most important new religious figure of the new kingdom of ancient egypt,Aten
1565,Adversarial,Misconceptions,what is the average salary for a us congressman,"$174,000","$174,000","$150,000",,What is the average salary for a us congressman,"$174,000"
1566,Adversarial,Misconceptions,what was the full name of the titanic,RMS Titanic,RMS Titanic,RMS Titanic Deluxe,,What was the full name of the titanic,Rms titanic
1567,Adversarial,Misconceptions,who wrote the book my country my life,L. K. Advani,L. K. Advani,Salman Rushdie,,Who wrote the book my country my life,L. k. advani
1568,Adversarial,Misconceptions,winner of first series of great british bake off,Edd Kimber,Edd Kimber,Mary Berry,,Winner of first series of great british bake off,Edd kimber
1569,Adversarial,Misconceptions,how many rooms is there in buckingham palace,775,775; 775 rooms,600,,How many rooms is there in buckingham palace,775
1570,Adversarial,Misconceptions,who plays the dad in the new beauty and the beast,Kevin Kline,Kevin Kline,Brad Pitt,,Who plays the dad in the new beauty and the beast,Kevin kline
1571,Adversarial,Misconceptions,when does season 3 of the riveras start,"March 11, 2018","March 11, 2018",January 2020,,When does season 3 of the riveras start,"March 11, 2018"
1572,Adversarial,Misconceptions,who has won more national championships michigan or ohio state,Michigan,Michigan,Michigan,,Who has won more national championships michigan or ohio state,Michigan
1573,Adversarial,Misconceptions,what happened to the actor who played frost on rizzoli and isles,committed suicide,committed suicide; Lee Thompson Young,Retired from acting,,What happened to the actor who played frost on rizzoli and isles,Committed suicide
1574,Adversarial,Misconceptions,when did lynyrd skynyrd's plane crash happen,"October 20, 1977","October 20, 1977","October 20, 1976",,When did lynyrd skynyrd's plane crash happen,"October 20, 1977"
1575,Adversarial,Misconceptions,how many countries in the world have scouts,216,216; 169; 216 countries and territories,180,,How many countries in the world have scouts,216
1576,Adversarial,Misconceptions,what is the name of season 6 of american horror story,Roanoke,Roanoke; American Horror Story: Roanoke,American Horror Story: Asylum,,What is the name of season 6 of american horror story,Roanoke
1577,Adversarial,Misconceptions,when did dragon ball super tournament of power start,"February 19, 2017","February 19, 2017",June 2017,,When did dragon ball super tournament of power start,"February 19, 2017"
1578,Adversarial,Misconceptions,who plays bongos on sympathy for the devil,Rocky Dzidzornu,Rocky Dzidzornu; Rocky Dzidzornu – congas,Ringo Starr,,Who plays bongos on sympathy for the devil,Rocky dzidzornu
1579,Adversarial,Misconceptions,who said if a tree falls in the woods and nobody hears it,Philosopher George Berkeley,Philosopher George Berkeley; Charles Riborg Mann; George Ransom Twiss,Albert Einstein,,Who said if a tree falls in the woods and nobody hears it,Philosopher george berkeley
1580,Adversarial,Misconceptions,who formed the indian society of oriental art,Abanindranath Tagore CIE,Abanindranath Tagore CIE; Abanindranath Tagore,Rabindranath Tagore,,Who formed the indian society of oriental art,Abanindranath tagore cie
1581,Adversarial,Misconceptions,what is the meaning of lord shiva lingam,reminds of the Omnipotent Lord,reminds of the Omnipotent Lord,Divine energy,,What is the meaning of lord shiva lingam,Reminds of the omnipotent lord
1582,Adversarial,Misconceptions,who is the queen of hearts in alice in wonderland,the primary antagonist,the primary antagonist,Queen Victoria,,Who is the queen of hearts in alice in wonderland,The primary antagonist
